experiment,horizon,comparison_role,left,right,metric,mean_difference,ci_low,ci_high,n_pairs,n_left,n_right,unit,n_cells,status
e4_scaling,100,secondary_baseline,bayes_direct,bayes_ucb,reward,-2.4233333333333333,-3.4217083333333336,-1.44,600,600,600,episode,15,ok
e4_scaling,100,primary_assistance,bayes_direct,counts_direct,pseudo_regret,-2.6291111124255755,-3.340704147891746,-1.951648726272474,600,600,600,episode,15,ok
e4_scaling,100,primary_assistance,bayes_direct,counts_direct,reward,2.65,1.9449583333333331,3.3567499999999995,600,600,600,episode,15,ok
e4_scaling,100,secondary_baseline,bayes_direct,finite_ap_index,pseudo_regret,3.7903335959516347,2.8831017894751416,4.682145625470528,600,600,600,episode,15,ok
e4_scaling,100,secondary_baseline,bayes_direct,finite_ap_index,reward,-3.5716666666666663,-4.504999999999999,-2.6449583333333337,600,600,600,episode,15,ok
e4_scaling,100,secondary_baseline,bayes_direct,greedy,pseudo_regret,2.025187861015624,1.137412155035121,2.9280001483576674,600,600,600,episode,15,ok
e4_scaling,100,secondary_baseline,bayes_direct,greedy,reward,-1.7883333333333336,-2.6816666666666666,-0.9032916666666673,600,600,600,episode,15,ok
e4_scaling,100,secondary_baseline,bayes_direct,ids,pseudo_regret,3.4212511258849587,2.4972404340389662,4.362039647876268,600,600,600,episode,15,ok
e4_scaling,100,secondary_baseline,bayes_direct,ids,reward,-3.2550000000000003,-4.1983749999999995,-2.316666666666667,600,600,600,episode,15,ok
e4_scaling,100,secondary_baseline,bayes_direct,knowledge_gradient,pseudo_regret,4.06974021592212,3.155306755724225,4.973471243499312,600,600,600,episode,15,ok
e4_scaling,100,secondary_baseline,bayes_direct,knowledge_gradient,reward,-3.7916666666666665,-4.705041666666666,-2.8866666666666667,600,600,600,episode,15,ok
e4_scaling,100,primary_vs_ts,bayes_direct,ts,pseudo_regret,0.25798136721922266,-0.6473355871059122,1.1865782988330238,600,600,600,episode,15,ok
e4_scaling,100,primary_vs_ts,bayes_direct,ts,reward,-0.2783333333333333,-1.218375,0.6483749999999996,600,600,600,episode,15,ok
e4_scaling,100,secondary_baseline,bayes_direct,ucb1,pseudo_regret,-4.926364207511859,-5.857376741924326,-3.964077872406357,600,600,600,episode,15,ok
e4_scaling,100,secondary_baseline,bayes_direct,ucb1,reward,4.918333333333334,3.8999583333333336,5.90675,600,600,600,episode,15,ok
e4_scaling,100,planned_comparison,bayes_sample,bayes_direct,pseudo_regret,-1.7911845001144466,-2.5250022402566654,-1.072524051478994,600,600,600,episode,15,ok
e4_scaling,100,planned_comparison,bayes_sample,bayes_direct,reward,1.5083333333333333,0.7866666666666667,2.296708333333333,600,600,600,episode,15,ok
e4_scaling,100,secondary_baseline,bayes_sample,bayes_ucb,pseudo_regret,0.6715851922979827,0.16167689891569453,1.175888870775846,600,600,600,episode,15,ok
e4_scaling,100,secondary_baseline,bayes_sample,bayes_ucb,reward,-0.9150000000000001,-1.4866666666666666,-0.3533333333333333,600,600,600,episode,15,ok
e4_scaling,100,secondary_baseline,bayes_sample,finite_ap_index,pseudo_regret,1.9991490958371885,1.5393425065045057,2.4627590670286534,600,600,600,episode,15,ok
e4_scaling,100,secondary_baseline,bayes_sample,finite_ap_index,reward,-2.0633333333333335,-2.5666666666666664,-1.5666666666666669,600,600,600,episode,15,ok
e4_scaling,100,secondary_baseline,bayes_sample,greedy,pseudo_regret,0.23400336090117785,-0.38450949099681014,0.8284282273028087,600,600,600,episode,15,ok
e4_scaling,100,secondary_baseline,bayes_sample,greedy,reward,-0.2800000000000001,-0.8917083333333334,0.3583333333333333,600,600,600,episode,15,ok
e4_scaling,100,secondary_baseline,bayes_sample,ids,pseudo_regret,1.6300666257705123,1.1690264658420946,2.1103619690334323,600,600,600,episode,15,ok
e4_scaling,100,secondary_baseline,bayes_sample,ids,reward,-1.7466666666666668,-2.2583333333333333,-1.2532916666666671,600,600,600,episode,15,ok
e4_scaling,100,secondary_baseline,bayes_sample,knowledge_gradient,pseudo_regret,2.278555715807674,1.8102183140110504,2.750598123508702,600,600,600,episode,15,ok
e4_scaling,100,secondary_baseline,bayes_sample,knowledge_gradient,reward,-2.283333333333333,-2.773333333333333,-1.7999999999999998,600,600,600,episode,15,ok
e4_scaling,100,planned_comparison,bayes_sample,ts,pseudo_regret,-1.5332031328952234,-1.9883097800378078,-1.074053549096763,600,600,600,episode,15,ok
e4_scaling,100,planned_comparison,bayes_sample,ts,reward,1.23,0.7083333333333335,1.735,600,600,600,episode,15,ok
e4_scaling,100,secondary_baseline,bayes_sample,ucb1,pseudo_regret,-6.717548707626305,-7.2378983868931135,-6.178761054833691,600,600,600,episode,15,ok
e4_scaling,100,secondary_baseline,bayes_sample,ucb1,reward,6.426666666666667,5.808291666666666,7.025,600,600,600,episode,15,ok
e4_scaling,100,secondary_baseline,counts_direct,bayes_ucb,pseudo_regret,5.091880804838005,4.0711286436936165,6.166408125814438,600,600,600,episode,15,ok
e4_scaling,100,secondary_baseline,counts_direct,bayes_ucb,reward,-5.073333333333334,-6.145041666666667,-4.013333333333334,600,600,600,episode,15,ok
e4_scaling,100,secondary_baseline,counts_direct,finite_ap_index,pseudo_regret,6.41944470837721,5.383745736496385,7.445090901667696,600,600,600,episode,15,ok
e4_scaling,100,secondary_baseline,counts_direct,finite_ap_index,reward,-6.221666666666668,-7.296666666666667,-5.173291666666667,600,600,600,episode,15,ok
e4_scaling,100,secondary_baseline,counts_direct,greedy,pseudo_regret,4.6542989734411995,3.5771491247999436,5.750776114290598,600,600,600,episode,15,ok
e4_scaling,100,secondary_baseline,counts_direct,greedy,reward,-4.4383333333333335,-5.5200000000000005,-3.36,600,600,600,episode,15,ok
e4_scaling,100,secondary_baseline,counts_direct,ids,pseudo_regret,6.050362238310533,5.0412833162071955,7.089085719380485,600,600,600,episode,15,ok
e4_scaling,100,secondary_baseline,counts_direct,ids,reward,-5.905,-6.978375000000001,-4.843333333333334,600,600,600,episode,15,ok
e4_scaling,100,secondary_baseline,counts_direct,knowledge_gradient,pseudo_regret,6.698851328347696,5.669258539625125,7.752888272981799,600,600,600,episode,15,ok
e4_scaling,100,secondary_baseline,counts_direct,knowledge_gradient,reward,-6.441666666666665,-7.528333333333333,-5.431666666666667,600,600,600,episode,15,ok
e4_scaling,100,primary_vs_ts,counts_direct,ts,pseudo_regret,2.887092479644798,1.9059498110495359,3.9054661814618794,600,600,600,episode,15,ok
e4_scaling,100,primary_vs_ts,counts_direct,ts,reward,-2.9283333333333332,-3.981708333333333,-1.8782916666666674,600,600,600,episode,15,ok
e4_scaling,100,secondary_baseline,counts_direct,ucb1,pseudo_regret,-2.2972530950862837,-3.2989578588340605,-1.2877947181586358,600,600,600,episode,15,ok
e4_scaling,100,secondary_baseline,counts_direct,ucb1,reward,2.268333333333333,1.20825,3.34,600,600,600,episode,15,ok
e4_scaling,100,secondary_baseline,counts_sample,bayes_ucb,pseudo_regret,1.487589401564824,0.965720860952176,2.02030192482947,600,600,600,episode,15,ok
e4_scaling,100,secondary_baseline,counts_sample,bayes_ucb,reward,-1.6766666666666665,-2.283333333333333,-1.084958333333334,600,600,600,episode,15,ok
e4_scaling,100,planned_comparison,counts_sample,counts_direct,pseudo_regret,-3.604291403273181,-4.477698144848092,-2.723022797154132,600,600,600,episode,15,ok
e4_scaling,100,planned_comparison,counts_sample,counts_direct,reward,3.396666666666667,2.5116666666666667,4.300041666666667,600,600,600,episode,15,ok
e4_scaling,100,secondary_baseline,counts_sample,finite_ap_index,pseudo_regret,2.8151533051040305,2.298087348461278,3.341289495118192,600,600,600,episode,15,ok
e4_scaling,100,secondary_baseline,counts_sample,finite_ap_index,reward,-2.825,-3.396666666666667,-2.2616666666666667,600,600,600,episode,15,ok
e4_scaling,100,secondary_baseline,counts_sample,greedy,pseudo_regret,1.050007570168019,0.39751820983951813,1.6951129843912833,600,600,600,episode,15,ok
e4_scaling,100,secondary_baseline,counts_sample,greedy,reward,-1.0416666666666667,-1.733333333333333,-0.3333333333333334,600,600,600,episode,15,ok
e4_scaling,100,secondary_baseline,counts_sample,ids,pseudo_regret,2.4460708350373532,1.941186044409364,2.9696316967460357,600,600,600,episode,15,ok
e4_scaling,100,secondary_baseline,counts_sample,ids,reward,-2.508333333333333,-3.0766666666666667,-1.9533333333333334,600,600,600,episode,15,ok
e4_scaling,100,secondary_baseline,counts_sample,knowledge_gradient,pseudo_regret,3.0945599250745155,2.5683868035327606,3.6277545531089976,600,600,600,episode,15,ok
