experiment,horizon,policy,state_regime,metric,mean,ci_low,ci_high,n_fixtures,analysis_role
e1_horizon,10,counts_regret,exploration_required,non_greedy_choice,0.125,0.0,0.3125,8,post_hoc_secondary
e1_horizon,10,counts_regret,exploration_required,non_greedy_probability,0.2325,0.14030468750000002,0.3409375,8,post_hoc_secondary
e1_horizon,10,counts_regret,exploration_required,value_of_exploration,0.04642346482999726,0.02903369891644525,0.06276379008327726,8,post_hoc_secondary
e1_horizon,10,counts_regret,exploration_required,loss_at_least_001,0.875,0.6875,1.0,8,post_hoc_secondary
e1_horizon,10,counts_regret,greedy_can_be_optimal,optimal_agreement,0.8396739130434783,0.7743885869565219,0.9021739130434783,92,post_hoc_secondary
e1_horizon,10,counts_regret,greedy_can_be_optimal,exact_loss,0.019293642230320592,0.011447715246317049,0.02803037653828044,92,post_hoc_secondary
e1_horizon,10,counts_regret,greedy_can_be_optimal,exact_loss_per_remaining_pull,0.0019293642230320592,0.0011386484316282793,0.002790892295173295,92,post_hoc_secondary
e1_horizon,10,counts_regret,greedy_can_be_optimal,non_greedy_choice,0.08967391304347826,0.043478260869565216,0.14402173913043478,92,post_hoc_secondary
e1_horizon,10,counts_regret,greedy_can_be_optimal,non_greedy_probability,0.14320652173913045,0.10747214673913043,0.18279891304347826,92,post_hoc_secondary
e1_horizon,10,counts_regret,greedy_can_be_optimal,value_of_exploration,0.0,0.0,0.0,92,post_hoc_secondary
e1_horizon,10,counts_regret,greedy_can_be_optimal,loss_at_least_001,0.16032608695652173,0.09782608695652174,0.23097826086956522,92,post_hoc_secondary
e2_assistance,1,bayes_explore,terminal,optimal_agreement,1.0,1.0,1.0,100,post_hoc_secondary
e2_assistance,1,bayes_explore,terminal,exact_loss,0.0,0.0,0.0,100,post_hoc_secondary
e2_assistance,1,bayes_explore,terminal,exact_loss_per_remaining_pull,0.0,0.0,0.0,100,post_hoc_secondary
e2_assistance,1,bayes_explore,terminal,non_greedy_choice,0.0,0.0,0.0,100,post_hoc_secondary
e2_assistance,1,bayes_explore,terminal,non_greedy_probability,0.008925,0.0035000000000000005,0.015950000000000002,100,post_hoc_secondary
e2_assistance,1,bayes_explore,terminal,value_of_exploration,0.0,0.0,0.0,100,post_hoc_secondary
e2_assistance,1,bayes_explore,terminal,loss_at_least_001,0.0,0.0,0.0,100,post_hoc_secondary
e2_assistance,1,counts_explore,terminal,optimal_agreement,0.915,0.8674375000000001,0.9575,100,post_hoc_secondary
e2_assistance,1,counts_explore,terminal,exact_loss,0.0070806277056277055,0.00288961038961039,0.012324337121212116,100,post_hoc_secondary
e2_assistance,1,counts_explore,terminal,exact_loss_per_remaining_pull,0.0070806277056277055,0.002786661255411256,0.01227272727272727,100,post_hoc_secondary
e2_assistance,1,counts_explore,terminal,non_greedy_choice,0.085,0.0425,0.135,100,post_hoc_secondary
e2_assistance,1,counts_explore,terminal,non_greedy_probability,0.09455000000000002,0.060200000000000004,0.131275,100,post_hoc_secondary
e2_assistance,1,counts_explore,terminal,value_of_exploration,0.0,0.0,0.0,100,post_hoc_secondary
e2_assistance,1,counts_explore,terminal,loss_at_least_001,0.085,0.0425,0.135,100,post_hoc_secondary
e2_assistance,1,dp_values_explore,terminal,optimal_agreement,1.0,1.0,1.0,100,post_hoc_secondary
e2_assistance,1,dp_values_explore,terminal,exact_loss,0.0,0.0,0.0,100,post_hoc_secondary
e2_assistance,1,dp_values_explore,terminal,exact_loss_per_remaining_pull,0.0,0.0,0.0,100,post_hoc_secondary
e2_assistance,1,dp_values_explore,terminal,non_greedy_choice,0.0,0.0,0.0,100,post_hoc_secondary
e2_assistance,1,dp_values_explore,terminal,non_greedy_probability,0.00037500000000000006,0.0001,0.0007250000000000001,100,post_hoc_secondary
e2_assistance,1,dp_values_explore,terminal,value_of_exploration,0.0,0.0,0.0,100,post_hoc_secondary
e2_assistance,1,dp_values_explore,terminal,loss_at_least_001,0.0,0.0,0.0,100,post_hoc_secondary
e2_assistance,1,means_explore,terminal,optimal_agreement,1.0,1.0,1.0,100,post_hoc_secondary
e2_assistance,1,means_explore,terminal,exact_loss,0.0,0.0,0.0,100,post_hoc_secondary
e2_assistance,1,means_explore,terminal,exact_loss_per_remaining_pull,0.0,0.0,0.0,100,post_hoc_secondary
e2_assistance,1,means_explore,terminal,non_greedy_choice,0.0,0.0,0.0,100,post_hoc_secondary
e2_assistance,1,means_explore,terminal,non_greedy_probability,0.0017499999999999998,0.00065,0.003175,100,post_hoc_secondary
e2_assistance,1,means_explore,terminal,value_of_exploration,0.0,0.0,0.0,100,post_hoc_secondary
e2_assistance,1,means_explore,terminal,loss_at_least_001,0.0,0.0,0.0,100,post_hoc_secondary
e2_assistance,1,recommendation_explore,terminal,optimal_agreement,0.9875,0.97,1.0,100,post_hoc_secondary
e2_assistance,1,recommendation_explore,terminal,exact_loss,0.0005492424242424242,0.0,0.0012878787878787873,100,post_hoc_secondary
e2_assistance,1,recommendation_explore,terminal,exact_loss_per_remaining_pull,0.0005492424242424242,0.0,0.0012878787878787875,100,post_hoc_secondary
e2_assistance,1,recommendation_explore,terminal,non_greedy_choice,0.0125,0.0,0.03,100,post_hoc_secondary
e2_assistance,1,recommendation_explore,terminal,non_greedy_probability,0.019375000000000003,0.008375,0.03275,100,post_hoc_secondary
e2_assistance,1,recommendation_explore,terminal,value_of_exploration,0.0,0.0,0.0,100,post_hoc_secondary
e2_assistance,1,recommendation_explore,terminal,loss_at_least_001,0.0125,0.0,0.03,100,post_hoc_secondary
e2_assistance,2,bayes_explore,exploration_required,optimal_agreement,0.0,,,1,post_hoc_secondary
e2_assistance,2,bayes_explore,exploration_required,exact_loss,0.015151515151515138,,,1,post_hoc_secondary
e2_assistance,2,bayes_explore,exploration_required,exact_loss_per_remaining_pull,0.007575757575757569,,,1,post_hoc_secondary
e2_assistance,2,bayes_explore,exploration_required,non_greedy_choice,0.0,,,1,post_hoc_secondary
e2_assistance,2,bayes_explore,exploration_required,non_greedy_probability,0.175,,,1,post_hoc_secondary
e2_assistance,2,bayes_explore,exploration_required,value_of_exploration,0.015151515151515138,,,1,post_hoc_secondary
e2_assistance,2,bayes_explore,exploration_required,loss_at_least_001,1.0,,,1,post_hoc_secondary
e2_assistance,2,bayes_explore,greedy_can_be_optimal,optimal_agreement,0.9646464646464646,0.9343434343434344,0.98989898989899,99,post_hoc_secondary
e2_assistance,2,bayes_explore,greedy_can_be_optimal,exact_loss,0.0030407723589541773,0.0009512373148736803,0.0055817099567099515,99,post_hoc_secondary
e2_assistance,2,bayes_explore,greedy_can_be_optimal,exact_loss_per_remaining_pull,0.0015203861794770887,0.00045913682277318657,0.002804339494680402,99,post_hoc_secondary
e2_assistance,2,bayes_explore,greedy_can_be_optimal,non_greedy_choice,0.03282828282828283,0.010101010101010102,0.06313131313131314,99,post_hoc_secondary
e2_assistance,2,bayes_explore,greedy_can_be_optimal,non_greedy_probability,0.10441919191919194,0.08270202020202021,0.12851073232323232,99,post_hoc_secondary
e2_assistance,2,bayes_explore,greedy_can_be_optimal,value_of_exploration,0.0,0.0,0.0,99,post_hoc_secondary
e2_assistance,2,bayes_explore,greedy_can_be_optimal,loss_at_least_001,0.03535353535353535,0.010101010101010102,0.06313131313131314,99,post_hoc_secondary
e2_assistance,2,counts_explore,exploration_required,optimal_agreement,0.0,,,1,post_hoc_secondary
e2_assistance,2,counts_explore,exploration_required,exact_loss,0.015151515151515138,,,1,post_hoc_secondary
e2_assistance,2,counts_explore,exploration_required,exact_loss_per_remaining_pull,0.007575757575757569,,,1,post_hoc_secondary
e2_assistance,2,counts_explore,exploration_required,non_greedy_choice,0.0,,,1,post_hoc_secondary
e2_assistance,2,counts_explore,exploration_required,non_greedy_probability,0.16749999999999998,,,1,post_hoc_secondary
e2_assistance,2,counts_explore,exploration_required,value_of_exploration,0.015151515151515138,,,1,post_hoc_secondary
e2_assistance,2,counts_explore,exploration_required,loss_at_least_001,1.0,,,1,post_hoc_secondary
e2_assistance,2,counts_explore,greedy_can_be_optimal,optimal_agreement,0.8888888888888888,0.8333333333333334,0.9393939393939394,99,post_hoc_secondary
e2_assistance,2,counts_explore,greedy_can_be_optimal,exact_loss,0.009838982566255294,0.004659835114380571,0.015975879129288214,99,post_hoc_secondary
e2_assistance,2,counts_explore,greedy_can_be_optimal,exact_loss_per_remaining_pull,0.004919491283127647,0.002326450380427654,0.00798689158064158,99,post_hoc_secondary
e2_assistance,2,counts_explore,greedy_can_be_optimal,non_greedy_choice,0.08585858585858586,0.04040404040404041,0.13636363636363635,99,post_hoc_secondary
e2_assistance,2,counts_explore,greedy_can_be_optimal,non_greedy_probability,0.13901515151515154,0.10553030303030303,0.1749501262626263,99,post_hoc_secondary
