target,k,representation,metric,mean,ci_low,ci_high,n_fixtures
next_reward,10,bayes,raw_excess_brier,0.00216000543280673,0.002038169133964881,0.0022880082014486236,100
next_reward,10,bayes,repeat_variability,6.470000000000027e-05,5.930000000000019e-05,7.040000000000033e-05,100
next_reward,10,bayes,cross_repeat_error_product,0.0020953054328067306,0.001973505828507712,0.0022231305960345553,100
next_reward,10,counts,raw_excess_brier,0.004675967337568633,0.004189440700417905,0.0051635895264800094,100
next_reward,10,counts,repeat_variability,0.00013270000000000052,0.00011720000000000067,0.00014930000000000043,100
next_reward,10,counts,cross_repeat_error_product,0.004543267337568633,0.004060009422612018,0.005025132317797641,100
next_reward,10,means,raw_excess_brier,0.0028824599782612793,0.0027257758295384303,0.003045995615571299,100
next_reward,10,means,repeat_variability,6.850000000000108e-05,6.210000000000097e-05,7.520000000000118e-05,100
next_reward,10,means,cross_repeat_error_product,0.0028139599782612784,0.002657318168231483,0.0029765812803358286,100
next_reward,15,bayes,raw_excess_brier,0.002238035377897713,0.002142813479913543,0.0023355817841369747,100
next_reward,15,bayes,repeat_variability,6.473333333333349e-05,6.0800000000000055e-05,6.88666666666669e-05,100
next_reward,15,bayes,cross_repeat_error_product,0.0021733020445643793,0.002078113568273955,0.0022711589468588137,100
next_reward,15,counts,raw_excess_brier,0.0049891150315773646,0.004565472775122896,0.005440899873378182,100
next_reward,15,counts,repeat_variability,0.00012026666666666719,0.00010940000000000054,0.00013193333333333387,100
next_reward,15,counts,cross_repeat_error_product,0.004868848364910697,0.004449173491251406,0.0053154619564226005,100
next_reward,15,means,raw_excess_brier,0.0028667407170030555,0.002751390543561778,0.0029838270895098163,100
next_reward,15,means,repeat_variability,6.68666666666676e-05,6.220000000000074e-05,7.180000000000097e-05,100
next_reward,15,means,cross_repeat_error_product,0.002799874050336389,0.002683511228800061,0.002917862339348963,100
