family,policy,metric,mean,ci_low,ci_high,n_episodes,expected_episodes,analysis_role
prior,ids,exact_loss,0.14360346338224073,0.0834783995552684,0.2114365827201792,40,40,post_hoc_two_arm_normative_audit
prior,ids,optimal_agreement,0.9269999999999999,0.89175,0.958,40,40,post_hoc_two_arm_normative_audit
prior,ids,pseudo_regret,2.2540487747246303,1.2672950799196097,3.6453871250599184,40,40,post_hoc_two_arm_normative_audit
prior,ids,reward,63.625,55.1,71.55062499999998,40,40,post_hoc_two_arm_normative_audit
prior,knowledge_gradient,exact_loss,0.1676240284399535,0.09925960810554627,0.24483999474946735,40,40,post_hoc_two_arm_normative_audit
prior,knowledge_gradient,optimal_agreement,0.89025,0.843,0.93250625,40,40,post_hoc_two_arm_normative_audit
prior,knowledge_gradient,pseudo_regret,2.240379457450317,1.1654637593298467,3.6958258579566423,40,40,post_hoc_two_arm_normative_audit
prior,knowledge_gradient,reward,63.7,55.4,71.65,40,40,post_hoc_two_arm_normative_audit
prior,random,exact_loss,14.982304927064783,11.578910187912989,18.545999169044133,40,40,post_hoc_two_arm_normative_audit
prior,random,optimal_agreement,0.5095,0.49424999999999997,0.52525,40,40,post_hoc_two_arm_normative_audit
prior,random,pseudo_regret,18.20217411980658,14.116823345857368,22.311172791669446,40,40,post_hoc_two_arm_normative_audit
prior,random,reward,48.3,41.75,54.775,40,40,post_hoc_two_arm_normative_audit
prior,ts,exact_loss,0.9970427329492673,0.8394847838167805,1.1596948319574734,40,40,post_hoc_two_arm_normative_audit
prior,ts,optimal_agreement,0.8787499999999999,0.8440000000000001,0.91175,40,40,post_hoc_two_arm_normative_audit
prior,ts,pseudo_regret,3.0929577125368892,2.3160836422958444,4.204964052808538,40,40,post_hoc_two_arm_normative_audit
prior,ts,reward,62.5,54.225,70.65062499999999,40,40,post_hoc_two_arm_normative_audit
prior,ucb1,exact_loss,3.6355894593002547,3.1662298633850328,4.106975780206464,40,40,post_hoc_two_arm_normative_audit
prior,ucb1,optimal_agreement,0.78325,0.7492500000000001,0.8175000000000001,40,40,post_hoc_two_arm_normative_audit
prior,ucb1,pseudo_regret,6.094422620648207,5.35228561239676,6.836562888163202,40,40,post_hoc_two_arm_normative_audit
prior,ucb1,reward,59.95,52.3,67.45,40,40,post_hoc_two_arm_normative_audit
