experiment,family,k,horizon,policy,phase,metric,mean,ci_low,ci_high,n_episodes,n_recorded_turns,analysis_role
e3_exact_online,prior,2,20,counts_direct,early,unseen_arm,0.37875,0.36125,0.39625,200,800,post_hoc_behavioral
e3_exact_online,prior,2,20,counts_direct,early,lower_mean_higher_sd,0.0,0.0,0.0,200,800,post_hoc_behavioral
e3_exact_online,prior,2,20,counts_direct,early,equal_mean_higher_sd,0.0,0.0,0.0,200,800,post_hoc_behavioral
e3_exact_online,prior,2,20,counts_direct,early,unequal_sd_greedy_tie_available,0.045,0.0325,0.05875,200,800,post_hoc_behavioral
e3_exact_online,prior,2,20,counts_direct,early,posterior_mean_deficit,0.0013749999999999995,0.0006249999999999999,0.0022499999999999994,200,800,post_hoc_behavioral
e3_exact_online,prior,2,20,counts_direct,early,chosen_posterior_sd,0.24311000071020902,0.24084003753914396,0.24533433084354675,200,800,post_hoc_behavioral
e3_exact_online,prior,2,20,counts_direct,early,bayes_ucb_agreement,0.94125,0.9225,0.96,200,800,post_hoc_behavioral
e3_exact_online,prior,2,20,counts_direct,early,knowledge_gradient_agreement,0.85125,0.825,0.8775,200,800,post_hoc_behavioral
e3_exact_online,prior,2,20,counts_direct,early,bayes_ucb_top_set_size,1.30875,1.29375,1.32375,200,800,post_hoc_behavioral
e3_exact_online,prior,2,20,counts_direct,early,knowledge_gradient_top_set_size,1.30875,1.295,1.32375,200,800,post_hoc_behavioral
e3_exact_online,prior,2,20,counts_direct,early,exact_loss,0.0070093791832619365,0.0051642488201972024,0.00901769045802613,200,800,post_hoc_behavioral
e3_exact_online,prior,2,20,counts_direct,early,strict_exploration_required,0.05125,0.0375,0.065,200,800,post_hoc_behavioral
e3_exact_online,prior,2,20,counts_direct,early,useful_non_greedy,0.0,0.0,0.0,200,800,post_hoc_behavioral
e3_exact_online,prior,2,20,counts_direct,early,inferior_non_greedy,0.01375,0.00625,0.0225,200,800,post_hoc_behavioral
e3_exact_online,prior,2,20,counts_direct,early,neutral_non_greedy,0.0,0.0,0.0,200,800,post_hoc_behavioral
e3_exact_online,prior,2,20,counts_direct,early,exact_optimal_agreement,0.89,0.86375,0.915,200,800,post_hoc_behavioral
e3_exact_online,prior,2,20,counts_direct,late,posterior_mean_greedy,0.9575,0.93125,0.98,200,800,post_hoc_behavioral
e3_exact_online,prior,2,20,counts_direct,late,strict_non_greedy,0.0425,0.02,0.06875,200,800,post_hoc_behavioral
e3_exact_online,prior,2,20,counts_direct,late,unseen_arm,0.0,0.0,0.0,200,800,post_hoc_behavioral
e3_exact_online,prior,2,20,counts_direct,late,lower_mean_higher_sd,0.005,0.00125,0.01,200,800,post_hoc_behavioral
e3_exact_online,prior,2,20,counts_direct,late,equal_mean_higher_sd,0.0,0.0,0.0,200,800,post_hoc_behavioral
e3_exact_online,prior,2,20,counts_direct,late,unequal_sd_greedy_tie_available,0.015,0.00625,0.02625,200,800,post_hoc_behavioral
e3_exact_online,prior,2,20,counts_direct,late,posterior_mean_deficit,0.002089110998650473,0.0007913794903926485,0.0036574139174056944,200,800,post_hoc_behavioral
e3_exact_online,prior,2,20,counts_direct,late,chosen_posterior_sd,0.10034901618924025,0.09731789721534416,0.10334399676754062,200,800,post_hoc_behavioral
e3_exact_online,prior,2,20,counts_direct,late,bayes_ucb_agreement,0.5825,0.5175,0.64625,200,800,post_hoc_behavioral
e3_exact_online,prior,2,20,counts_direct,late,knowledge_gradient_agreement,0.895,0.85625,0.93,200,800,post_hoc_behavioral
e3_exact_online,prior,2,20,counts_direct,late,bayes_ucb_top_set_size,1.00625,1.00125,1.01375,200,800,post_hoc_behavioral
e3_exact_online,prior,2,20,counts_direct,late,knowledge_gradient_top_set_size,1.00625,1.00125,1.01375,200,800,post_hoc_behavioral
e3_exact_online,prior,2,20,counts_direct,late,exact_loss,0.00615475919056331,0.0035432161953287806,0.009100612463693298,200,800,post_hoc_behavioral
e3_exact_online,prior,2,20,counts_direct,late,strict_exploration_required,0.0525,0.03125,0.07625,200,800,post_hoc_behavioral
e3_exact_online,prior,2,20,counts_direct,late,useful_non_greedy,0.0,0.0,0.0,200,800,post_hoc_behavioral
e3_exact_online,prior,2,20,counts_direct,late,inferior_non_greedy,0.0425,0.02,0.0675,200,800,post_hoc_behavioral
e3_exact_online,prior,2,20,counts_direct,late,neutral_non_greedy,0.0,0.0,0.0,200,800,post_hoc_behavioral
e3_exact_online,prior,2,20,counts_direct,late,exact_optimal_agreement,0.89,0.85125,0.9275,200,800,post_hoc_behavioral
e3_exact_online,prior,2,20,counts_direct,middle,posterior_mean_greedy,0.965,0.9541666666666667,0.9745833333333332,200,2400,post_hoc_behavioral
e3_exact_online,prior,2,20,counts_direct,middle,strict_non_greedy,0.034999999999999996,0.025,0.04541666666666666,200,2400,post_hoc_behavioral
e3_exact_online,prior,2,20,counts_direct,middle,unseen_arm,0.007083333333333333,0.004166666666666667,0.010416666666666664,200,2400,post_hoc_behavioral
