experiment,family,k,horizon,policy,turn,n_episodes,mean_cumulative_pseudo_regret,mean_cumulative_reward,non_greedy_fraction
e3_exact_online,prior,2,20,ucb1,17,200,1.6781660813963484,9.47,0.175
e3_exact_online,prior,2,20,ucb1,18,200,1.7332592497733694,10.045,0.24
e3_exact_online,prior,2,20,ucb1,19,200,1.79285632523965,10.64,0.2
e3_exact_online,prior,2,20,ucb1,20,200,1.8431748372086185,11.255,0.24
pilot,clear,2,20,bayes_direct,1,3,0.0,1.0,0.0
pilot,clear,2,20,bayes_direct,2,3,0.0,1.6666666666666667,0.0
pilot,clear,2,20,bayes_direct,3,3,0.13333333333333333,2.3333333333333335,0.0
pilot,clear,2,20,bayes_direct,4,3,0.13333333333333333,3.0,0.0
pilot,clear,2,20,bayes_direct,5,3,0.13333333333333333,3.6666666666666665,0.0
pilot,clear,2,20,bayes_direct,6,3,0.13333333333333333,4.666666666666667,0.0
pilot,clear,2,20,bayes_direct,7,3,0.13333333333333333,5.0,0.0
pilot,clear,2,20,bayes_direct,8,3,0.13333333333333333,5.666666666666667,0.0
pilot,clear,2,20,bayes_direct,9,3,0.13333333333333333,6.666666666666667,0.0
pilot,clear,2,20,bayes_direct,10,3,0.13333333333333333,7.666666666666667,0.0
pilot,clear,2,20,bayes_direct,11,3,0.13333333333333333,8.0,0.0
pilot,clear,2,20,bayes_direct,12,3,0.13333333333333333,8.0,0.0
pilot,clear,2,20,bayes_direct,13,3,0.13333333333333333,8.666666666666666,0.0
pilot,clear,2,20,bayes_direct,14,3,0.13333333333333333,9.333333333333334,0.0
pilot,clear,2,20,bayes_direct,15,3,0.13333333333333333,9.666666666666666,0.0
pilot,clear,2,20,bayes_direct,16,3,0.13333333333333333,10.0,0.0
pilot,clear,2,20,bayes_direct,17,3,0.13333333333333333,10.666666666666666,0.0
pilot,clear,2,20,bayes_direct,18,3,0.13333333333333333,11.0,0.0
pilot,clear,2,20,bayes_direct,19,3,0.13333333333333333,11.333333333333334,0.0
pilot,clear,2,20,bayes_direct,20,3,0.13333333333333333,12.333333333333334,0.0
pilot,clear,2,20,bayes_sample,1,3,0.0,1.0,0.0
pilot,clear,2,20,bayes_sample,2,3,0.0,1.6666666666666667,0.0
