experiment,comparison_role,family,k,horizon,left,right,metric,mean_difference,ci_low,ci_high,n_pairs,n_left,n_right,unit
pilot,secondary_baseline,close,2,20,bayes_direct,greedy,pseudo_regret,-0.01666666666666668,-0.050000000000000044,0.0,3,3,3,episode
pilot,secondary_baseline,close,5,20,bayes_direct,greedy,pseudo_regret,-0.21666666666666687,-0.6500000000000006,0.0,3,3,3,episode
pilot,secondary_baseline,close,15,20,bayes_direct,greedy,pseudo_regret,0.0,0.0,0.0,3,3,3,episode
pilot,secondary_baseline,prior,2,20,bayes_direct,greedy,pseudo_regret,0.04740706541482478,0.0,0.11330133588042846,3,3,3,episode
pilot,secondary_baseline,prior,5,20,bayes_direct,greedy,pseudo_regret,2.368041219886275,-0.25820129961486105,5.6143940150100144,3,3,3,episode
pilot,secondary_baseline,prior,15,20,bayes_direct,greedy,pseudo_regret,1.8464453005685446,0.6019969678528287,3.6887327159902887,3,3,3,episode
pilot,secondary_baseline,clear,2,20,bayes_direct,greedy,reward,0.0,0.0,0.0,3,3,3,episode
pilot,secondary_baseline,clear,5,20,bayes_direct,greedy,reward,-2.3333333333333335,-6.0,0.0,3,3,3,episode
pilot,secondary_baseline,clear,15,20,bayes_direct,greedy,reward,-0.3333333333333333,-3.0,1.0,3,3,3,episode
pilot,secondary_baseline,close,2,20,bayes_direct,greedy,reward,0.3333333333333333,0.0,1.0,3,3,3,episode
pilot,secondary_baseline,close,5,20,bayes_direct,greedy,reward,-1.0,-3.0,0.0,3,3,3,episode
pilot,secondary_baseline,close,15,20,bayes_direct,greedy,reward,0.6666666666666666,-2.0,5.0,3,3,3,episode
pilot,secondary_baseline,prior,2,20,bayes_direct,greedy,reward,-0.3333333333333333,-1.0,0.0,3,3,3,episode
pilot,secondary_baseline,prior,5,20,bayes_direct,greedy,reward,-1.0,-4.0,1.0,3,3,3,episode
pilot,secondary_baseline,prior,15,20,bayes_direct,greedy,reward,-2.0,-3.0,-1.0,3,3,3,episode
pilot,secondary_baseline,clear,2,20,bayes_direct,ids,pseudo_regret,-0.39999999999999997,-0.39999999999999997,-0.39999999999999997,3,3,3,episode
pilot,secondary_baseline,clear,5,20,bayes_direct,ids,pseudo_regret,2.133333333333333,-0.8000000000000003,7.599999999999999,3,3,3,episode
pilot,secondary_baseline,clear,15,20,bayes_direct,ids,pseudo_regret,0.0,0.0,0.0,3,3,3,episode
pilot,secondary_baseline,close,2,20,bayes_direct,ids,pseudo_regret,0.050000000000000044,-0.050000000000000044,0.20000000000000018,3,3,3,episode
pilot,secondary_baseline,close,5,20,bayes_direct,ids,pseudo_regret,-0.31666666666666693,-0.7000000000000006,0.0,3,3,3,episode
pilot,secondary_baseline,close,15,20,bayes_direct,ids,pseudo_regret,0.10000000000000009,0.0,0.15000000000000013,3,3,3,episode
pilot,secondary_baseline,prior,2,20,bayes_direct,ids,pseudo_regret,-0.0443966893898059,-0.21757154368580026,0.11330133588042846,3,3,3,episode
