cohort,label_scheme,horizon,left,right,metric,mean_difference,ci_low,ci_high,n_pairs,n_left,n_right,unit,comparison_role,expected_pairs,missing_pairs
targeted,original,1,advice_only,nested,optimal_agreement,0.0,0.0,0.0,100,100,100,fixture,secondary_exploratory,100,0
targeted,original,1,advice_only,nested,exact_loss,0.0,0.0,0.0,100,100,100,fixture,secondary_exploratory,100,0
targeted,original,1,advice_only,nested,distribution_exact_loss,0.01422654595127572,0.012845771568530276,0.015644402904037714,100,100,100,fixture,secondary_exploratory,100,0
targeted,original,1,dp_values,nested,optimal_agreement,0.0,0.0,0.0,100,100,100,fixture,secondary_exploratory,100,0
targeted,original,1,dp_values,nested,exact_loss,0.0,0.0,0.0,100,100,100,fixture,secondary_exploratory,100,0
targeted,original,1,dp_values,nested,distribution_exact_loss,-0.0003999174120905957,-0.00044707981784676695,-0.0003508992979193917,100,100,100,fixture,secondary_exploratory,100,0
targeted,original,2,path_explicit,nested,advice_adherence,0.18,0.11,0.26,100,100,100,fixture,secondary_exploratory,100,0
targeted,original,2,path_explicit,nested,optimal_agreement,0.18,0.11,0.26,100,100,100,fixture,secondary_exploratory,100,0
targeted,original,2,path_explicit,nested,exact_loss,-0.006011247543167866,-0.009163415952590188,-0.0031451017894679346,100,100,100,fixture,secondary_exploratory,100,0
targeted,original,2,path_explicit,nested,distribution_exact_loss,-0.003276369631465192,-0.004341376445684757,-0.0023170281375388202,100,100,100,fixture,secondary_exploratory,100,0
targeted,original,2,inline,nested,advice_adherence,0.0,0.0,0.0,100,100,100,fixture,secondary_exploratory,100,0
targeted,original,2,inline,nested,optimal_agreement,0.0,0.0,0.0,100,100,100,fixture,secondary_exploratory,100,0
targeted,original,2,inline,nested,exact_loss,0.0,0.0,0.0,100,100,100,fixture,secondary_exploratory,100,0
targeted,original,2,inline,nested,distribution_exact_loss,8.779102119343573e-05,-9.038738467120049e-05,0.0002758401500011672,100,100,100,fixture,secondary_exploratory,100,0
targeted,original,2,per_option,nested,advice_adherence,0.0175,0.0025,0.0375,100,100,100,fixture,secondary_exploratory,100,0
targeted,original,2,per_option,nested,optimal_agreement,0.0175,0.0025,0.0375,100,100,100,fixture,secondary_exploratory,100,0
targeted,original,2,per_option,nested,exact_loss,-0.0009398554876496035,-0.0019841482047364347,-0.00015151515151515138,100,100,100,fixture,secondary_exploratory,100,0
targeted,original,2,per_option,nested,distribution_exact_loss,-0.0021100353443248626,-0.0025726003468113626,-0.0017031736477953418,100,100,100,fixture,secondary_exploratory,100,0
targeted,original,2,advice_only,nested,advice_adherence,0.18,0.11,0.26,100,100,100,fixture,secondary_exploratory,100,0
targeted,original,2,advice_only,nested,optimal_agreement,0.18,0.11,0.26,100,100,100,fixture,secondary_exploratory,100,0
targeted,original,2,advice_only,nested,exact_loss,-0.006011247543167866,-0.00922704378487161,-0.003247774827717328,100,100,100,fixture,secondary_exploratory,100,0
targeted,original,2,advice_only,nested,distribution_exact_loss,0.005256209546745463,0.0025204474472544495,0.00789030680771302,100,100,100,fixture,secondary_exploratory,100,0
