cohort,label_scheme,horizon,format,metric,mean,ci_low,ci_high,n_fixtures
targeted,letters,1,nested,posterior_mean_greedy,1.0,1.0,1.0,100
targeted,letters,1,nested,prediction_entropy,0.0647994783563251,0.05915311563610492,0.07076171955079197,100
targeted,letters,1,nested,choice_mismatch,0.0,0.0,0.0,100
targeted,letters,1,path_explicit,advice_adherence,1.0,1.0,1.0,100
targeted,letters,1,path_explicit,distribution_advice_adherence,0.9957250000000002,0.9947500000000001,0.99665,100
targeted,letters,1,path_explicit,optimal_agreement,1.0,1.0,1.0,100
targeted,letters,1,path_explicit,exact_loss,0.0,0.0,0.0,100
targeted,letters,1,path_explicit,distribution_exact_loss,0.00023874426958941098,0.00020184671994857934,0.00027521702856907106,100
targeted,letters,1,path_explicit,posterior_mean_greedy,1.0,1.0,1.0,100
targeted,letters,1,path_explicit,prediction_entropy,0.022231147943712344,0.017789480622697883,0.026917728581688234,100
targeted,letters,1,path_explicit,choice_mismatch,0.0,0.0,0.0,100
targeted,letters,1,per_option,advice_adherence,1.0,1.0,1.0,100
targeted,letters,1,per_option,distribution_advice_adherence,0.9927499999999999,0.9916743749999999,0.9938250000000001,100
targeted,letters,1,per_option,optimal_agreement,1.0,1.0,1.0,100
targeted,letters,1,per_option,exact_loss,0.0,0.0,0.0,100
targeted,letters,1,per_option,distribution_exact_loss,0.0004848465498834012,0.000431459146512502,0.0005363974116593172,100
targeted,letters,1,per_option,posterior_mean_greedy,1.0,1.0,1.0,100
targeted,letters,1,per_option,prediction_entropy,0.03901746033009845,0.03358450807063674,0.04475588931520108,100
targeted,letters,1,per_option,choice_mismatch,0.0,0.0,0.0,100
targeted,letters,2,advice_only,advice_adherence,1.0,1.0,1.0,100
targeted,letters,2,advice_only,distribution_advice_adherence,0.8421000000000001,0.8400499999999999,0.8441250000000001,100
targeted,letters,2,advice_only,optimal_agreement,1.0,1.0,1.0,100
targeted,letters,2,advice_only,exact_loss,0.0,0.0,0.0,100
targeted,letters,2,advice_only,distribution_exact_loss,0.012012452487912268,0.010363546263978427,0.013744407241621463,100
targeted,letters,2,advice_only,posterior_mean_greedy,0.82,0.74,0.89,100
targeted,letters,2,advice_only,prediction_entropy,0.4194103202799542,0.4164845286552831,0.4222674811756408,100
targeted,letters,2,advice_only,choice_mismatch,0.0,0.0,0.0,100
targeted,letters,2,dp_values,optimal_agreement,1.0,1.0,1.0,100
targeted,letters,2,dp_values,exact_loss,0.0,0.0,0.0,100
targeted,letters,2,dp_values,distribution_exact_loss,0.0020391868030509254,0.0018091354683607752,0.0022765206716294675,100
targeted,letters,2,inline,advice_adherence,0.82,0.74,0.89,100
targeted,letters,2,inline,distribution_advice_adherence,0.82825,0.7667243750000001,0.8827275,100
targeted,letters,2,inline,optimal_agreement,0.82,0.74,0.89,100
targeted,letters,2,inline,exact_loss,0.006011247543167866,0.003214641453065061,0.009124425011026116,100
targeted,letters,2,inline,distribution_exact_loss,0.006731175504982067,0.004676991468107317,0.009033324583433776,100
targeted,letters,2,inline,posterior_mean_greedy,1.0,1.0,1.0,100
targeted,letters,2,inline,prediction_entropy,0.19930307100295125,0.17460849775332563,0.22652698467932644,100
targeted,letters,2,inline,choice_mismatch,0.0,0.0,0.0,100
targeted,letters,2,nested,advice_adherence,0.82,0.74,0.89,100
targeted,letters,2,nested,distribution_advice_adherence,0.8203,0.7670225000000002,0.8694999999999997,100
targeted,letters,2,nested,optimal_agreement,0.82,0.74,0.89,100
targeted,letters,2,nested,exact_loss,0.006011247543167866,0.0031762699255723273,0.009246111398107416,100
targeted,letters,2,nested,distribution_exact_loss,0.007768543689789114,0.005981983076276929,0.009823455187870984,100
targeted,letters,2,nested,posterior_mean_greedy,1.0,1.0,1.0,100
targeted,letters,2,nested,prediction_entropy,0.2775130357496979,0.25020177646138564,0.3064674241025304,100
targeted,letters,2,nested,choice_mismatch,0.0,0.0,0.0,100
targeted,letters,2,path_explicit,advice_adherence,1.0,1.0,1.0,100
targeted,letters,2,path_explicit,distribution_advice_adherence,0.9299249999999999,0.905624375,0.9519525,100
targeted,letters,2,path_explicit,optimal_agreement,1.0,1.0,1.0,100
targeted,letters,2,path_explicit,exact_loss,0.0,0.0,0.0,100
targeted,letters,2,path_explicit,distribution_exact_loss,0.0027285808173540425,0.001933464150750942,0.0036359552390113773,100
targeted,letters,2,path_explicit,posterior_mean_greedy,0.82,0.74,0.89,100
targeted,letters,2,path_explicit,prediction_entropy,0.17377047560547898,0.13435791260918398,0.21653813480362355,100
targeted,letters,2,path_explicit,choice_mismatch,0.0,0.0,0.0,100
targeted,letters,2,per_option,advice_adherence,0.8425,0.7725,0.9075,100
