cohort,format,contrast_type,fixed_factor,left,right,metric,mean_difference,ci_low,ci_high,n_pairs,n_left,n_right,unit,analysis_role
targeted,per_option,horizon,labels=letters,2,1,optimal_agreement,-0.1575,-0.23,-0.0925,100,100,100,fixture,secondary_exploratory
targeted,per_option,horizon,labels=letters,10,1,optimal_agreement,-0.99,-1.0,-0.975,100,100,100,fixture,secondary_exploratory
targeted,per_option,label_scheme,horizon=1,letters,original,exact_loss,0.0,0.0,0.0,100,100,100,fixture,secondary_exploratory
targeted,per_option,label_scheme,horizon=2,letters,original,exact_loss,-0.0002846587315278015,-0.0008969581967684415,0.0003386809269162194,100,100,100,fixture,secondary_exploratory
targeted,per_option,label_scheme,horizon=10,letters,original,exact_loss,-9.250602436001732e-06,-0.0008616477904293074,0.0008400096679114566,100,100,100,fixture,secondary_exploratory
targeted,per_option,horizon,labels=original,2,1,exact_loss,0.005071392055518262,0.0027214929477125125,0.007722924945519559,100,100,100,fixture,secondary_exploratory
targeted,per_option,horizon,labels=original,10,1,exact_loss,0.05868648143953383,0.05551582465672381,0.061672772602221634,100,100,100,fixture,secondary_exploratory
targeted,per_option,horizon,labels=letters,2,1,exact_loss,0.004786733323990461,0.002646871144758492,0.0072217933879750226,100,100,100,fixture,secondary_exploratory
targeted,per_option,horizon,labels=letters,10,1,exact_loss,0.05867723083709783,0.055418139944841564,0.06173235084450847,100,100,100,fixture,secondary_exploratory
targeted,advice_only,label_scheme,horizon=1,letters,original,advice_adherence,0.0,0.0,0.0,100,100,100,fixture,secondary_exploratory
targeted,advice_only,label_scheme,horizon=2,letters,original,advice_adherence,0.0,0.0,0.0,100,100,100,fixture,secondary_exploratory
targeted,advice_only,label_scheme,horizon=10,letters,original,advice_adherence,0.0,0.0,0.0,100,100,100,fixture,secondary_exploratory
targeted,advice_only,horizon,labels=original,2,1,advice_adherence,0.0,0.0,0.0,100,100,100,fixture,secondary_exploratory
targeted,advice_only,horizon,labels=original,10,1,advice_adherence,0.0,0.0,0.0,100,100,100,fixture,secondary_exploratory
targeted,advice_only,horizon,labels=letters,2,1,advice_adherence,0.0,0.0,0.0,100,100,100,fixture,secondary_exploratory
targeted,advice_only,horizon,labels=letters,10,1,advice_adherence,0.0,0.0,0.0,100,100,100,fixture,secondary_exploratory
targeted,advice_only,label_scheme,horizon=1,letters,original,optimal_agreement,0.0,0.0,0.0,100,100,100,fixture,secondary_exploratory
targeted,advice_only,label_scheme,horizon=2,letters,original,optimal_agreement,0.0,0.0,0.0,100,100,100,fixture,secondary_exploratory
targeted,advice_only,label_scheme,horizon=10,letters,original,optimal_agreement,0.0,0.0,0.0,100,100,100,fixture,secondary_exploratory
