fixture_id,k,representation,target,primitive,mean_binary_excess_brier,mean_binary_excess_log_loss,mean_absolute_error
e10_primitive_bridge:15:2,15,bayes,best_arm,noul,0.010843084162021194,0.028472826508746038,0.04851542322322688
e10_primitive_bridge:15:2,15,bayes,next_reward,choice,0.05913428346545229,0.0724335272359515,0.15661904761904763
e10_primitive_bridge:15:2,15,bayes,next_reward,noul,0.004192955904124738,0.006391156389624938,0.042571428571428586
e10_primitive_bridge:15:2,15,counts,best_arm,choice,0.030358540180705558,0.18397955853854436,0.056057633910626306
e10_primitive_bridge:15:2,15,counts,best_arm,noul,0.0035340529164314435,0.01935259638505463,0.028546269669680588
e10_primitive_bridge:15:2,15,counts,next_reward,choice,0.015232782743951578,0.023266310234941093,0.06822222222222223
e10_primitive_bridge:15:2,15,counts,next_reward,noul,0.003631859223028056,0.004950304029619014,0.034380952380952394
e10_primitive_bridge:15:2,15,oracle_probs_full,best_arm,choice,0.04613972570402674,0.8022389896030929,0.06896915355354626
e10_primitive_bridge:15:2,15,oracle_probs_full,best_arm,noul,0.0020112659536081104,0.017634921067609603,0.027364179779787078
e10_primitive_bridge:15:2,15,oracle_probs_full,next_reward,choice,0.009481152152320982,0.014649970522921671,0.05644444444444444
e10_primitive_bridge:15:2,15,oracle_probs_full,next_reward,noul,0.0024193339705028,0.00428727871143914,0.026444444444444437
e10_primitive_bridge:15:2,15,oracle_probs_only,best_arm,choice,0.04613972570402674,0.8022389896030929,0.06896915355354626
