experiment,family,k,horizon,policy,phase,normative_reference,normative_interpretation,metric,mean,ci_low,ci_high,n_episodes,n_recorded_turns,analysis_role
e3_exact_online,prior,2,20,bayes_ucb,early,exact_e3,matched_prior,strict_non_greedy,0.0,0.0,0.0,200,800,post_hoc_behavioral
e3_exact_online,prior,2,20,bayes_ucb,early,exact_e3,matched_prior,unseen_arm,0.40875,0.3925,0.425,200,800,post_hoc_behavioral
e3_exact_online,prior,2,20,bayes_ucb,early,exact_e3,matched_prior,lower_mean_higher_sd,0.0,0.0,0.0,200,800,post_hoc_behavioral
e3_exact_online,prior,2,20,bayes_ucb,early,exact_e3,matched_prior,equal_mean_higher_sd,0.0375,0.02625,0.05,200,800,post_hoc_behavioral
e3_exact_online,prior,2,20,bayes_ucb,early,exact_e3,matched_prior,unequal_sd_greedy_tie_available,0.0375,0.025,0.05,200,800,post_hoc_behavioral
e3_exact_online,prior,2,20,bayes_ucb,early,exact_e3,matched_prior,posterior_mean_deficit,0.0,0.0,0.0,200,800,post_hoc_behavioral
e3_exact_online,prior,2,20,bayes_ucb,early,exact_e3,matched_prior,chosen_posterior_sd,0.24566774758149465,0.24330950753265312,0.2479731161774044,200,800,post_hoc_behavioral
e3_exact_online,prior,2,20,bayes_ucb,early,exact_e3,matched_prior,bayes_ucb_agreement,1.0,1.0,1.0,200,800,post_hoc_behavioral
e3_exact_online,prior,2,20,bayes_ucb,early,exact_e3,matched_prior,knowledge_gradient_agreement,0.9225,0.90625,0.93875,200,800,post_hoc_behavioral
e3_exact_online,prior,2,20,bayes_ucb,early,exact_e3,matched_prior,bayes_ucb_top_set_size,1.30875,1.295,1.32375,200,800,post_hoc_behavioral
e3_exact_online,prior,2,20,bayes_ucb,early,exact_e3,matched_prior,knowledge_gradient_top_set_size,1.30875,1.295,1.32375,200,800,post_hoc_behavioral
e3_exact_online,prior,2,20,bayes_ucb,early,exact_e3,matched_prior,exact_loss,0.0012058107484888868,0.0008315936196475083,0.001621607558312641,200,800,post_hoc_behavioral
