experiment,family,k,horizon,policy,episode_id,normative_reference,normative_interpretation,phase,n_turns,posterior_mean_greedy,strict_non_greedy,unseen_arm,lower_mean_higher_sd,equal_mean_higher_sd,unequal_sd_greedy_tie_available,posterior_mean_deficit,chosen_posterior_sd,bayes_ucb_agreement,knowledge_gradient_agreement,bayes_ucb_top_set_size,knowledge_gradient_top_set_size,exact_loss,strict_exploration_required,useful_non_greedy,inferior_non_greedy,neutral_non_greedy,exact_optimal_agreement
e3_exact_online,prior,2,20,bayes_direct,e3_exact_online:prior:2:3,exact_e3,matched_prior,middle,12,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15027348917987426,0.75,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
e3_exact_online,prior,2,20,bayes_direct,e3_exact_online:prior:2:3,exact_e3,matched_prior,late,4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11327807750288113,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
e3_exact_online,prior,2,20,counts_sample,e3_exact_online:prior:2:3,exact_e3,matched_prior,early,4,1.0,0.0,0.25,0.0,0.0,0.25,0.0,0.2369960481850769,0.75,0.5,1.25,1.25,0.027818750301561668,0.25,0.0,0.0,0.0,0.5
e3_exact_online,prior,2,20,counts_sample,e3_exact_online:prior:2:3,exact_e3,matched_prior,middle,12,0.8333333333333334,0.16666666666666666,0.0,0.0,0.0,0.16666666666666666,0.00522875816993464,0.14341074408183505,0.08333333333333333,0.08333333333333333,1.0,1.0,0.06791312111539034,0.5833333333333334,0.0,0.16666666666666666,0.0,0.08333333333333333
e3_exact_online,prior,2,20,counts_sample,e3_exact_online:prior:2:3,exact_e3,matched_prior,late,4,0.75,0.25,0.25,0.25,0.0,0.25,0.006578947368421045,0.156035096445702,0.25,0.75,1.0,1.0,0.022368421052631593,0.25,0.25,0.0,0.0,0.75
e3_exact_online,prior,2,20,bayes_sample,e3_exact_online:prior:2:3,exact_e3,matched_prior,early,4,1.0,0.0,0.5,0.0,0.25,0.25,0.0,0.25916483183378014,1.0,1.0,1.25,1.25,0.0,0.0,0.0,0.0,0.0,1.0
e3_exact_online,prior,2,20,bayes_sample,e3_exact_online:prior:2:3,exact_e3,matched_prior,middle,12,0.8333333333333334,0.16666666666666666,0.0,0.16666666666666666,0.0,0.0,0.042556980056980054,0.16555363103781223,0.8333333333333334,0.8333333333333334,1.0,1.0,0.035530877322321075,0.0,0.0,0.16666666666666666,0.0,0.8333333333333334
e3_exact_online,prior,2,20,bayes_sample,e3_exact_online:prior:2:3,exact_e3,matched_prior,late,4,0.75,0.25,0.0,0.25,0.0,0.0,0.075,0.13173402510492646,0.75,0.75,1.0,1.0,0.07499999999999996,0.0,0.0,0.25,0.0,0.75
e3_exact_online,prior,2,20,dp_direct,e3_exact_online:prior:2:3,exact_e3,matched_prior,early,4,1.0,0.0,0.5,0.0,0.25,0.25,0.0,0.25916483183378014,1.0,1.0,1.25,1.25,0.0,0.0,0.0,0.0,0.0,1.0
e3_exact_online,prior,2,20,dp_direct,e3_exact_online:prior:2:3,exact_e3,matched_prior,middle,12,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15027348917987426,0.75,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
e3_exact_online,prior,2,20,dp_direct,e3_exact_online:prior:2:3,exact_e3,matched_prior,late,4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11327807750288113,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
e3_exact_online,prior,2,20,counts_direct,e3_exact_online:prior:2:4,exact_e3,matched_prior,early,4,1.0,0.0,0.25,0.0,0.0,0.25,0.0,0.2369960481850769,0.75,0.5,1.25,1.25,0.027818750301561668,0.25,0.0,0.0,0.0,0.5
e3_exact_online,prior,2,20,counts_direct,e3_exact_online:prior:2:4,exact_e3,matched_prior,middle,12,1.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.14385512426224462,0.0,0.16666666666666666,1.0,1.0,0.05851431912934546,0.75,0.0,0.0,0.0,0.08333333333333333
